university,year,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
University of Iowa,2026,0.05458881,0.35764015,0.05490314,0.060711097,0.08569115,0.11321006,0.14708275,0.12616992,0.0,0.0
Auburn University,2026,0.12990506,0.093699045,0.10726335,0.12958175,0.31567144,0.07669185,0.07774285,0.06944361,0.0,0.0
Saint Louis University,2026,0.24540389,0.114384875,0.1164002,0.030849164,0.07281019,0.22207598,0.08359797,0.1144759,0.37684738636016846,0.08243069797754288
University of Missouri Columbia,2023,0.00024820017,0.08728936,0.014996048,0.09824745,0.24851422,0.3193291,0.1456568,0.08571877,0.0,0.0
University of Missouri Columbia,2026,0.30765083,0.12569553,0.09627687,0.010890773,0.109281845,0.16071072,0.092772946,0.09671933,0.41001659631729126,0.0
University of Tennessee Knoxville,2024,0.074470915,0.12934163,0.01650888,0.20197134,0.13682313,0.18660608,0.19118153,0.06309509,0.0,0.0
Brigham Young University,2023,0.0014154663,0.27359137,0.18142942,0.080866694,0.1274835,0.07355252,0.1889597,0.07270067,0.0,0.0
Brigham Young University,2026,0.50963974,0.038656536,0.045107197,0.018246407,0.10273492,0.13802774,0.09188908,0.055698812,0.0,0.0
University of Oregon,2025,0.038487524,0.1194524,0.2714767,0.106308915,0.017675368,0.115136765,0.10834236,0.22311962,0.0,0.0
University of San Diego,2024,0.13114357,0.12742303,0.05886781,0.09197659,0.08394889,0.1481493,0.21417844,0.1443122,0.0,0.0
University of Texas Dallas,2025,0.04883779,0.082020745,0.0026957085,0.25861037,0.14088428,0.17616825,0.1441866,0.14659648,0.0,0.0
Chapman University,2026,0.24508461,0.17945682,0.06117144,0.038701072,0.18378927,0.1578542,0.04485349,0.08908879,0.0,0.0
University of Oklahoma,2025,0.08243808,0.16146845,0.04117449,0.17984454,0.14026187,0.0974747,0.18883455,0.10849714,0.0,0.0
Illinois Institute of Technology,2025,0.013294846,0.10695676,0.20495476,0.11218606,0.09902931,0.046114627,0.30628386,0.11117965,0.02198985032737255,0.0
George Mason University,2026,0.10738253,0.22290954,0.115683086,0.0954453,0.120042995,0.11641049,0.061546106,0.16057993,0.0,0.0
San Diego State University,2025,0.102780856,0.11481655,0.08421419,0.26637268,0.11444909,0.07279286,0.07405161,0.17051902,0.0,0.022446995601058006
University of New Hampshire,2026,0.15074149,0.08344686,0.17274737,0.027423246,0.41477194,0.06129351,0.0022951693,0.0872799,0.0,0.0
California State University Long Beach,2026,0.12476508,0.039650004,0.35450977,0.0076710694,0.07970897,0.1792334,0.049467724,0.1649933,0.7176476716995239,0.0
University of South Carolina,2026,0.037072074,0.12965636,0.038413625,0.081519276,0.1416742,0.1317313,0.25286338,0.18706533,0.0,0.0
University of Maryland Baltimore County,2025,0.11963131,0.045623578,0.1134626,0.14118043,0.24281491,0.1395769,0.069446385,0.12826271,0.0,0.0
University of Vermont,2026,0.02222222,0.21907285,0.02256915,0.13332951,0.10780276,0.035940163,0.2627688,0.19629431,0.0,0.0
California State University Fullerton,2026,0.010048281,0.084726214,0.041293573,0.06663265,0.18883103,0.18238138,0.24650043,0.17958659,0.0,0.0
Clark University,2024,0.016140053,0.10780183,0.04918824,0.05494886,0.048893146,0.27003086,0.32213306,0.13086325,0.0,0.0
Loyola University Chicago,2026,0.09709223,0.12617195,0.08114658,0.061141264,0.26719266,0.096288145,0.11281209,0.15815137,0.0,0.0
Virginia Commonwealth University,2024,0.047771387,0.11768411,0.12731291,0.10925264,0.16986439,0.10770857,0.2247063,0.09570015,0.0,0.0
James Madison University,2025,0.19623174,0.033941187,0.061110765,0.08533422,0.11420867,0.30241096,0.16458471,0.04217762,0.05433676019310951,0.18053512275218964
