university,year,state,rank,IPEDS,policy_typology,token_count,restrictive_count,innovation_count,admin_count,faculty_count,restrictive_density,innovation_density,admin_density,faculty_density,max_density,second_density,density_gap
Stevens Institute of Technology,2025,NJ,76.0,186867.0,Restrictive / Compliance-Driven,502,2,1,2,0,0.00398406374501992,0.00199203187250996,0.00398406374501992,0.0,0.00398406374501992,0.00398406374501992,0.0
New Jersey Institute of Technology,2026,NJ,80.0,185828.0,Innovation-Forward,384,5,7,0,0,0.013020833333333334,0.018229166666666668,0.0,0.0,0.018229166666666668,0.013020833333333334,0.005208333333333334
Pepperdine University,2026,CA,84.0,121150.0,Innovation-Forward,564,0,13,1,0,0.0,0.02304964539007092,0.0017730496453900709,0.0,0.02304964539007092,0.0017730496453900709,0.02127659574468085
University of Illinois Chicago,2025,IL,80.0,145600.0,Innovation-Forward,489,1,5,1,0,0.002044989775051125,0.010224948875255624,0.002044989775051125,0.0,0.010224948875255624,0.002044989775051125,0.0081799591002045
Worcester Polytechnic Institute,2023,MA,67.0,168421.0,Administrative Risk-Management,227,0,1,4,0,0.0,0.004405286343612335,0.01762114537444934,0.0,0.01762114537444934,0.004405286343612335,0.013215859030837006
Yeshiva University,2026,NY,84.0,197708.0,Restrictive / Compliance-Driven,748,14,4,5,0,0.01871657754010695,0.0053475935828877,0.0066844919786096255,0.0,0.01871657754010695,0.0066844919786096255,0.012032085561497326
University of California Santa Cruz,2026,CA,88.0,110714.0,Innovation-Forward,421,2,3,0,0,0.004750593824228029,0.007125890736342043,0.0,0.0,0.007125890736342043,0.004750593824228029,0.0023752969121140144
Howard University,2026,DC,88.0,131520.0,Restrictive / Compliance-Driven,253,5,1,1,0,0.019762845849802372,0.003952569169960474,0.003952569169960474,0.0,0.019762845849802372,0.003952569169960474,0.015810276679841896
Marquette University,2026,WI,88.0,239105.0,Restrictive / Compliance-Driven,799,9,3,3,0,0.011264080100125156,0.0037546933667083854,0.0037546933667083854,0.0,0.011264080100125156,0.0037546933667083854,0.00750938673341677
University of Delaware,2026,DE,88.0,130943.0,Restrictive / Compliance-Driven,3347,18,13,6,0,0.00537795040334628,0.003884075291305647,0.00179265013444876,0.0,0.00537795040334628,0.003884075291305647,0.0014938751120406333
American University,2026,DC,88.0,131159.0,Restrictive / Compliance-Driven,487,8,5,0,0,0.01642710472279261,0.01026694045174538,0.0,0.0,0.01642710472279261,0.01026694045174538,0.006160164271047229
Baylor University,2026,TX,88.0,223232.0,Restrictive / Compliance-Driven,340,3,1,0,0,0.008823529411764706,0.0029411764705882353,0.0,0.0,0.008823529411764706,0.0029411764705882353,0.0058823529411764705
